Gene_id	DAF15-1_count	DAF15-2_count	DAF25-1_count	DAF25-2_count	DAF55-1_count	DAF55-2_count	DAF85-1_count	DAF85-2_count	DAF115-1_count	DAF115-2_count	DAF145-1_count	DAF145-2_count	Mean	Median	Variance	CV2
Pbr_miRNA127	161	219	195	152	141	137	79	54	29	31	22	35	104.583333333333	216	5006.99242424242	0.457774898233939
Pbr_miRNA219	11	7	19	16	18	9	24	17	45	47	79	56	29	37	506.909090909091	0.602745649119014
Pbr_miRNA165	134	220	68	66	70	67	60	64	40	47	63	62	80.0833333333333	130	2462.08333333333	0.383900311958255
Pbr_miRNA205	1	0	1	1	4	0	4	6	7	13	18	12	5.58333333333333	8	34.8106060606061	1.11666902934446
Pbr_miRNA222	1	3	2	0	1	3	5	8	66	94	177	261	51.75	8	7328.93181818182	2.73665450981141
Pbr_miRNA59	0	0	4	0	6	0	0	1	2	3	12	10	3.16666666666667	3	17.2424242424242	1.71946612943843
Pbr_miRNA93	6	24	90	85	50	72	32	35	127	112	2923	1877	452.75	157	878346.386363636	4.28498100351163
Pbr_miRNA77	4	4	14	20	29	36	40	43	68	82	254	178	64.3333333333333	76	5826.9696969697	1.40789624614694
Pbr_miRNA94	30	87	66	47	5	4	5	9	14	12	175	83	44.75	44	2636.75	1.31668799350832
Pbr_miRNA89	11134	11028	8505	7763	3297	3109	2128	2583	2341	2988	3014	4310	5183.33333333333	6406	11780334.969697	0.438469472926346
Pbr_miRNA52	1	0	0	1	20	17	22	24	43	25	151	76	31.6666666666667	42	1888.06060606061	1.88283052127927
Pbr_miRNA186	2	4	2	0	1	1	2	0	0	0	1	2	1.25	2	1.47727272727273	0.945454545454545
Pbr_miRNA203	65	89	86	75	68	79	110	127	196	196	296	396	148.583333333333	199	10963.7196969697	0.496612594477108
Pbr_miRNA197	2097	1962	4536	4015	5148	5120	6083	6580	10197	9711	14070	12907	6868.83333333333	11231	15875035.4242424	0.336471857476703
Pbr_miRNA163	224	277	193	201	128	158	155	112	59	58	36	51	137.666666666667	283	5980.78787878788	0.315573702777708
Pbr_miRNA82	9	6	2	2	1	0	0	0	0	0	0	0	1.66666666666667	0	8.42424242424242	3.03272727272727
Pbr_miRNA172	0	1	2	0	1	1	0	0	1	2	2	1	0.916666666666667	2	0.628787878787879	0.748309541697972
Pbr_miRNA221	0	0	1	1	1	1	7	7	60	96	197	259	52.5	8	7793.90909090909	2.82772211915069
Pbr_miRNA187	0	0	0	0	0	0	0	0	0	0	1	0	0.0833333333333333	0	0.0833333333333333	12
Pbr_miRNA214	32	25	27	45	27	45	24	21	27	22	5	20	26.6666666666667	52	116.242424242424	0.163465909090909
Pbr_miRNA196	287	361	39	27	15	14	0	3	4	6	4	2	63.5	20	15186.8181818182	3.76633844176779
Pbr_miRNA108	0	2	0	2	2	1	0	1	0	0	0	0	0.666666666666667	0	0.787878787878788	1.77272727272727
Pbr_miRNA24	0	1	8	6	11	11	27	31	66	65	63	40	27.4166666666667	38	651.174242424242	0.866299192626555
Pbr_miRNA88	27	18	33	29	47	52	61	62	112	104	179	154	73.1666666666667	113	2757.9696969697	0.515184692331967
Pbr_miRNA34	406	424	372	311	136	131	205	216	332	354	579	471	328.083333333333	686	18637.5378787879	0.173149085301103
Pbr_miRNA23	0	3	3	5	10	8	29	33	85	75	61	49	30.0833333333333	39	931.719696969697	1.02951662712561
Pbr_miRNA171	7	98	2	4	5	6	14	12	59	52	161	93	42.75	26	2627.11363636364	1.43749591949038
Pbr_miRNA58	7	8	15	19	15	8	25	19	38	44	88	69	29.5833333333333	38	668.810606060606	0.764203350706029
Pbr_miRNA126	8	12	18	15	20	13	16	16	40	40	89	57	28.6666666666667	34	576.969696969697	0.702099414917154
Pbr_miRNA33	343	425	354	302	132	157	194	188	317	305	590	459	313.833333333333	622	18204.1515151515	0.184829931374538
Pbr_miRNA173	2	2	1	1	0	1	0	0	0	0	0	0	0.583333333333333	0	0.628787878787879	1.84786641929499
Pbr_miRNA202	1547	1691	1374	1297	949	1017	972	1051	969	1033	1080	1172	1179.33333333333	2131	60287.1515151515	0.043346258520219
Pbr_miRNA15	4216	4206	6837	6580	16337	13749	57538	60686	56100	57068	60593	56622	33377.6666666667	72437	680686931.151515	0.610991918748887
Pbr_miRNA162	990	1061	1417	1270	2240	1951	1433	1130	366	422	553	444	1106.41666666667	2191	364190.083333333	0.297502553470305
Pbr_miRNA188	7	7	71	53	43	44	18	10	5	1	2	1	21.8333333333333	17	587.969696969697	1.2334309825132
Pbr_miRNA45	246	234	96	167	67	75	98	93	68	73	80	85	115.166666666667	178	4105.60606060606	0.309544920492791
Pbr_miRNA107	9	11	2	3	0	0	1	0	0	0	0	0	2.16666666666667	0	14.5151515151515	3.09198493813879
Pbr_miRNA225	35	34	24	29	48	36	59	59	97	96	211	149	73.0833333333333	107	3237.53787878788	0.60614728419479
Pbr_miRNA175	8	110	4	4	5	8	11	21	56	48	141	84	41.6666666666667	32	2217.33333333333	1.277184
Pbr_miRNA149	24	46	57	65	109	103	42	46	74	65	149	219	83.25	130	3021.11363636364	0.435911751227067
Pbr_miRNA80	30659	30157	29060	29389	13183	12076	4699	6281	156	138	37	24	12988.25	18357	174043486.022727	1.03170727903187
Pbr_miRNA223	0	0	0	2	1	1	0	0	0	0	0	0	0.333333333333333	0	0.424242424242424	3.81818181818182
Pbr_miRNA110	1582	2900	1143	1372	803	721	648	621	213	225	257	268	896.083333333333	1369	606366.810606061	0.755159382590903
Pbr_miRNA139	2173	2079	1797	1637	1410	1378	2733	3117	5049	3489	12148	10491	3958.41666666667	4906	13026987.9015152	0.831382726040034
Pbr_miRNA76	4277	4131	6769	6570	16187	13427	57838	60933	56889	57098	60697	56750	33463.8333333333	72937	689818247.242424	0.616003672138454
Pbr_miRNA50	0	0	0	1	5	4	26	31	14	10	37	26	12.8333333333333	15	185.787878787879	1.12807617412104
Pbr_miRNA41	2128	2032	1784	1688	1414	1375	2778	3006	5224	3585	11988	10524	3960.5	4906	12883195.1818182	0.821341091837519
Pbr_miRNA11	12	13	8	7	2	2	0	0	0	0	2	1	3.91666666666667	4	23.1742424242424	1.51067945182929
Pbr_miRNA128	744	851	709	597	303	293	414	398	663	698	1183	1000	654.416666666667	1361	75582.9924242424	0.176488080362094
Pbr_miRNA63	258	481	567	848	337	506	731	990	3382	2402	1891	1693	1173.83333333333	1579	939784.151515152	0.682048472781728
Pbr_miRNA161	3	3	9	3	14	10	14	18	23	25	23	24	14.0833333333333	28	72.9924242424242	0.368016144074405
Pbr_miRNA201	1958	1892	4493	4121	5255	5266	5922	6669	10311	9795	14327	12855	6905.33333333333	11188	16367609.3333333	0.343254275466957
Pbr_miRNA64	12	28	17	10	1	0	2	0	0	0	3	0	6.08333333333333	3	80.6287878787879	2.17874750507515
Pbr_miRNA1	4176	4118	6890	6753	16021	13689	58320	61362	57425	57151	59927	56748	33548.3333333333	72769	691600985.515152	0.614488422064426
Pbr_miRNA4	1612	2921	1114	1320	752	707	574	609	219	227	230	309	882.833333333333	1316	615911.424242424	0.790243285760943
Pbr_miRNA150	57644	50070	84609	77270	86350	71708	126602	134387	65484	90564	81403	99981	85506	166012	638435640.363636	0.0873220539369656
Pbr_miRNA134	30	19	99	72	90	85	287	278	234	267	271	251	165.25	333	11456.3863636364	0.419531635737769
Pbr_miRNA198	10	23	40	34	37	28	129	142	212	149	245	192	103.416666666667	169	7094.26515151515	0.663324969153039
Pbr_miRNA106	0	0	0	0	0	2	0	0	2	1	7	1	1.08333333333333	0	4.08333333333333	3.4792899408284
Pbr_miRNA144	4196	4131	6784	6554	16479	13172	57289	60782	57148	56740	59813	56367	33287.9166666667	72846	680756329.901515	0.614353670172591
Pbr_miRNA67	13	18	3	4	0	1	0	4	0	0	0	1	3.66666666666667	2	34.0606060606061	2.53343350864012
Pbr_miRNA211	39	56	40	66	45	64	52	43	48	45	15	27	45	90	206.363636363636	0.101907968574635
Pbr_miRNA157	81	80	22	28	61	82	153	153	120	121	217	125	103.583333333333	202	3135.7196969697	0.292251984476632
Pbr_miRNA36	2	1	1	0	2	4	3	5	7	12	15	10	5.16666666666667	7	23.4242424242424	0.877495033582442
Pbr_miRNA10	4	2	20	6	30	23	22	20	13	9	30	18	16.4166666666667	38	91.7196969696969	0.340324057915338
Pbr_miRNA224	0	0	0	1	0	0	0	0	0	0	0	0	0.0833333333333333	0	0.0833333333333333	12
Pbr_miRNA40	30646	30344	29274	29784	13509	12089	4725	6220	170	117	33	17	13077.3333333333	18309	176498601.151515	1.03205509015062
Pbr_miRNA26	670	763	740	600	441	450	560	650	635	638	771	784	641.833333333333	1288	13428.696969697	0.0325978785391439
Pbr_miRNA174	10	2	7	8	1	2	0	0	1	0	3	1	2.91666666666667	3	11.9015151515152	1.39903525046382
