Gene	eccentricity	closeness	degree	eigen_centrality
Pbr037203.1	6.0	0.3430269131367333	60	0.00020929457060210057
Pbr021780.1	6.0	0.34715510761348123	64	0.00024304710202688678
Pbr007915.1	6.0	0.3511766668477122	52	0.0003983366546356761
Pbr036758.1	6.0	0.34449163507938685	37	0.00037428252281135647
Pbr023383.1	6.0	0.3486473162013927	107	0.0009237264126812433
Pbr009027.1	6.0	0.34702734201285057	105	0.0006425977898264489
Pbr028877.1	5.0	0.35967163870721647	225	0.004231711608155382
Pbr028880.1	5.0	0.35733459655771355	221	0.00445437613130141
Pbr008831.1	5.0	0.378804998284246	380	0.006750362614304726
Pbr017894.1	6.0	0.35387851161481504	37	0.0008669311072395466
Pbr003812.1	5.0	0.38154811080575274	416	0.0015579596509341406
Pbr019234.1	5.0	0.3799434198265658	409	0.0019753097684571956
Pbr002213.1	6.0	0.35862287548036925	66	0.00511246594659299
Pbr002222.1	6.0	0.3543550596985712	65	0.005244709409601292
Pbr024426.1	5.0	0.38551630735683684	194	0.002063457369184755
Pbr020717.1	6.0	0.36931563185938915	55	0.004249633721504731
Pbr041959.1	5.0	0.39459803485645034	546	0.003907512148979427
Pbr030933.1	6.0	0.36354873689706413	44	0.0010482255213411288
Pbr002717.1	6.0	0.36635017767093236	121	0.0025541560757653603
Pbr002722.1	6.0	0.36258762267174044	124	0.0021624385366752763
Pbr037666.1	6.0	0.3475469756655686	70	0.00029137839480860596
Pbr037663.1	6.0	0.3504397918731417	75	0.0003112887273610235
Pbr023627.1	6.0	0.3550583657587549	36	0.0006458834955972569
Pbr002238.1	6.0	0.3898934383156879	391	0.005057215804216171
Pbr000719.1	6.0	0.3526899819213266	39	0.00024379865441763378
Pbr019559.1	6.0	0.38888507011273027	322	0.003341987702218647
Pbr019556.1	6.0	0.3875199068445297	301	0.002939559442399158
Pbr032880.1	6.0	0.35155582482795045	114	0.0014144708033083468
Pbr002143.1	5.0	0.3517279431764313	107	0.001065293916571929
Pbr020449.1	5.0	0.3839302376872572	282	0.0042701997252996456
Pbr031926.1	5.0	0.35787992124427714	40	0.0013690154398824455
Pbr040315.1	6.0	0.3619381202568593	253	0.002429496338017095
Pbr040301.1	6.0	0.35510572358871756	228	0.0018098119046190454
Pbr024732.1	5.0	0.36397851191816516	221	0.001592733744073665
Pbr024733.1	6.0	0.32825883564574737	11	8.262826444219828e-05
Pbr003811.1	6.0	0.3439706340581087	86	0.001747774673610685
Pbr019235.1	6.0	0.341811920369755	88	0.0008656267351147323
Pbr006742.1	6.0	0.3507412372811742	75	0.0026956361454495907
Pbr006743.1	6.0	0.3508146402715984	86	0.0030988576689303543
Pbr015291.2	5.0	0.3859337960673295	509	0.0018977887810816417
Pbr022717.1	6.0	0.35086903266818614	29	0.0007144622516187817
Pbr020081.1	5.0	0.37910642788936727	362	0.0036501216171950655
Pbr032019.1	5.0	0.36253824834590925	40	0.0006799474308261993
Pbr004296.1	6.0	0.35414156272984776	225	0.0010841975414737103
Pbr012434.1	6.0	0.36446212444537496	103	0.0005371497166548787
Pbr007146.1	5.0	0.38139378107356536	366	0.003661971194343678
Pbr039440.1	5.0	0.3790016664014939	47	0.002824807804924005
Pbr032232.1	5.0	0.37542718736520786	433	0.0034766661690765416
Pbr032233.1	5.0	0.40660851128819253	1000	0.0633942562547131
Pbr025606.1	6.0	0.37805193828882633	161	0.004593341099938825
Pbr021140.1	6.0	0.3461859123903349	25	0.001116008710153471
Pbr018219.1	5.0	0.3723693087390782	228	0.002787327670838088
Pbr018197.1	6.0	0.37431562929023937	221	0.0022649398153022204
Pbr000899.1	6.0	0.342228036082903	93	0.0007301360481441965
Pbr031142.1	6.0	0.3552255674504756	37	0.00027834227862547865
Pbr041950.1	5.0	0.3622625803404916	123	0.0009204381625952847
Pbr011155.1	5.0	0.365687137928527	82	0.0011646548248688514
Pbr032879.1	6.0	0.3584609779664507	103	0.003043176256932518
Pbr011104.1	6.0	0.3507358012445464	162	0.0006891146126020713
Pbr006108.1	5.0	0.37595421432546705	445	0.005624429339043301
Pbr005489.3	6.0	0.3825122757198516	314	0.005067583060490751
Pbr039878.1	6.0	0.36153913745037425	40	0.00026007448443970277
Pbr025336.1	5.0	0.3775473602549237	192	0.0024187790544315363
Pbr024270.1	5.0	0.3568471927652898	37	0.0009257823131113103
Pbr029838.1	6.0	0.36192075486785813	102	0.0003373566546015692
Pbr018064.1	6.0	0.39777121563664486	733	0.005290637154296736
Pbr023579.1	6.0	0.3796725052009932	35	0.001961067343840994
Pbr027483.1	5.0	0.363557497670533	193	0.0032790921767692997
Pbr007104.1	6.0	0.3664717980275623	62	0.0004050192773711489
Pbr032225.1	6.0	0.3971603822427364	362	0.021999010969738976
Pbr004753.1	6.0	0.36109205214533036	48	0.0005790759423932464
Pbr002865.1	5.0	0.40786165505681765	702	0.007223069429029385
Pbr033505.1	6.0	0.361066126317301	101	0.001088416566639386
Pbr025316.1	5.0	0.3974184484348246	604	0.005643814619209886
Pbr014609.1	6.0	0.36494996653684575	44	0.0005337952687209941
Pbr039496.1	5.0	0.36547452741058956	289	0.0024851472220469182
Pbr034526.1	5.0	0.3675342076413983	160	0.0016227092437224153
Pbr010752.1	5.0	0.39668697138349623	714	0.06086922078571647
Pbr032113.1	6.0	0.3661575302569413	189	0.003141002419016324
Pbr032118.1	6.0	0.36649553824477304	189	0.003556395802518785
Pbr025410.1	5.0	0.34192037470725994	44	0.00017470100653443085
Pbr020090.1	5.0	0.3789033068229385	317	0.0071012957778346705
Pbr023556.1	6.0	0.3600378652284244	38	0.0007298564352568269
Pbr023346.1	6.0	0.356366728606973	107	0.0007648034373437055
Pbr038003.1	6.0	0.36218430908101534	44	0.0009374792062219023
Pbr018943.1	5.0	0.3666172551497331	305	0.003196544397078813
Pbr003852.1	5.0	0.3632773621857643	234	0.0012428500083327607
Pbr005265.1	5.0	0.3929433418416072	292	0.0029291411968058573
Pbr037186.1	5.0	0.3707465718638903	125	0.0020041568142687483
Pbr017023.1	6.0	0.372393819217035	209	0.0004655753575281175
Pbr014681.1	6.0	0.3672210953346856	157	0.0002951925553401533
Pbr024849.1	6.0	0.3609768547319392	82	0.0009048229498599721
Pbr000395.1	5.0	0.3812427874693599	84	0.0042547067344345215
Pbr001365.1	5.0	0.38377397527430596	320	0.006415801244926947
Pbr030445.1	6.0	0.35330393036961866	21	0.0014017500950917116
