Gene,FT 15d,FT 25d,FT 55d,FT 85d,FT 115d,FS 145d
Pbr000004.1,,18657000.0,,,,
Pbr000007.1,,153190000.0,,366840000.0,856850000.0,2009900000.0
Pbr000008.1,188650000.0,131870000.0,62071000.0,103060000.0,156150000.0,91812000.0
Pbr000009.1,,,,,,
Pbr000010.1,,47940000.0,65228000.0,56902000.0,,
Pbr000012.1,,52913000.0,40522000.0,,,
Pbr000013.1,1892100000.0,2788700000.0,2511200000.0,3289200000.0,1577300000.0,3056600000.0
Pbr000015.1,,,,,,
Pbr000016.1,973390000.0,586490000.0,387110000.0,497240000.0,473770000.0,294330000.0
Pbr000017.1,15361000.0,22212000.0,,21333000.0,23310000.0,
Pbr000018.1,186370000.0,111550000.0,107940000.0,179050000.0,122330000.0,228160000.0
Pbr000019.1,62301000.0,2141500000.0,1222700000.0,683270000.0,105430000.0,217280000.0
Pbr000020.1,,,,,237020000.0,
Pbr000021.1,,,,,,
Pbr000024.1,,44163000.0,27158000.0,,,
Pbr000025.1,,,,,146410000.0,
Pbr000026.1,515330000.0,1060300000.0,438640000.0,268190000.0,70403000.0,103330000.0
Pbr000027.1,611360000.0,284530000.0,32747000.0,,,
Pbr000028.1,120210000.0,170540000.0,198060000.0,69313000.0,604100000.0,494130000.0
Pbr000029.1,1333900000.0,1627900000.0,730630000.0,257950000.0,84803000.0,217190000.0
Pbr000031.1,,,,,307810000.0,
Pbr000037.1,,,,25180000.0,,
Pbr000039.1,,,,,,
Pbr000042.1,574250000.0,404710000.0,494330000.0,633240000.0,538140000.0,604590000.0
Pbr000043.1,19944000000.0,14834000000.0,12349000000.0,15208000000.0,10816000000.0,16978000000.0
Pbr000044.1,109580000.0,129900000.0,124650000.0,168320000.0,157730000.0,147980000.0
Pbr000047.1,84541000.0,73089000.0,35757000.0,,,72652000.0
Pbr000048.1,,,,,,
Pbr000049.1,,,,8733100.0,,
Pbr000050.1,430020000.0,654310000.0,1123100000.0,1862900000.0,570690000.0,747430000.0
