Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Pbr_lncRNA1208	-	Chr15	-	4168	4767	0.000000	0.000000	0.000000
Pbr_lncRNA1209	-	Chr15	-	547228	547775	0.000000	0.000000	0.000000
Pbr_lncRNA1065	-	Chr15	+	705879	707934	0.000000	0.000000	0.000000
Pbr_lncRNA1210	-	Chr15	-	967803	969255	6.293127	24.159807	40.238525
Pbr_lncRNA1211	-	Chr15	-	1091354	1094096	7.550322	28.986277	48.277081
Pbr_lncRNA1066	-	Chr15	+	1366603	1367550	1.010984	3.881246	6.464273
Pbr_lncRNA1212	-	Chr15	-	1639874	1641378	0.000000	0.000000	0.000000
Pbr_lncRNA1213	-	Chr15	-	1888014	1890899	0.000000	0.000000	0.000000
Pbr_lncRNA1067	-	Chr15	+	1912627	1912972	0.000000	0.000000	0.000000
Pbr_lncRNA1214	-	Chr15	-	1917563	1920489	0.000000	0.000000	0.000000
Pbr_lncRNA1215	-	Chr15	-	1935868	1936223	0.000000	0.000000	0.000000
Pbr_lncRNA1216	-	Chr15	-	1949374	1950724	0.000000	0.000000	0.000000
Pbr_lncRNA1217	-	Chr15	-	2477867	2478409	1.403762	5.389151	8.975713
Pbr_lncRNA1219	-	Chr15	-	3311477	3318234	0.553423	2.124634	3.538610
Pbr_lncRNA1220	-	Chr15	-	4087802	4089276	1.492196	5.734730	9.551279
Pbr_lncRNA1221	-	Chr15	-	4101408	4108034	1.941151	17.908457	29.826805
Pbr_lncRNA1222	-	Chr15	-	4407595	4409875	34.594303	183.895599	306.280884
Pbr_lncRNA1224	-	Chr15	-	5013189	5013706	0.470819	1.807511	3.010437
Pbr_lncRNA1070	-	Chr15	+	5324421	5326756	1.597696	8.986309	14.966834
Pbr_lncRNA1072	-	Chr15	+	5556824	5559191	0.165471	0.635256	1.058028
Pbr_lncRNA1226	-	Chr15	-	5713667	5714451	4.202106	16.353184	27.236477
Pbr_lncRNA1227	-	Chr15	-	5755922	5758622	0.000000	0.000000	0.000000
Pbr_lncRNA1073	-	Chr15	+	5756868	5757187	0.000000	0.000000	0.000000
Pbr_lncRNA1228	-	Chr15	-	5758695	5760369	6.322450	24.805696	41.314262
Pbr_lncRNA1229	-	Chr15	-	5800324	5808291	0.762211	50.836102	84.668297
Pbr_lncRNA1230	-	Chr15	-	5970368	5970762	0.000000	0.000000	0.000000
Pbr_lncRNA1075	-	Chr15	+	6078893	6083797	0.000000	0.000000	0.000000
Pbr_lncRNA1076	-	Chr15	+	6090352	6090638	0.000000	0.000000	0.000000
Pbr_lncRNA1231	-	Chr15	-	7146891	7147632	0.000000	0.000000	0.000000
Pbr_lncRNA1232	-	Chr15	-	7176934	7181507	10.390773	50.230587	83.659798
Pbr_lncRNA1233	-	Chr15	-	7335721	7337957	6.146928	56.089241	93.417480
Pbr_lncRNA1234	-	Chr15	-	7353927	7354451	1.245110	4.780074	7.961286
Pbr_lncRNA1079	-	Chr15	+	7354108	7354505	0.000000	0.000000	0.000000
Pbr_lncRNA1080	-	Chr15	+	7407255	7410114	0.000000	0.000000	0.000000
Pbr_lncRNA1237	-	Chr15	-	8317858	8319129	0.000000	0.000000	0.000000
Pbr_lncRNA1082	-	Chr15	+	8342796	8343301	0.000000	0.000000	0.000000
Pbr_lncRNA1238	-	Chr15	-	8619530	8626247	0.270125	1.037031	1.727191
Pbr_lncRNA1239	-	Chr15	-	8623380	8625874	0.000000	0.000000	0.000000
Pbr_lncRNA1240	-	Chr15	-	8624061	8625071	0.000000	0.000000	0.000000
Pbr_lncRNA1084	-	Chr15	+	8914161	8914664	0.000000	0.000000	0.000000
Pbr_lncRNA1085	-	Chr15	+	9057687	9063444	2.528961	9.708878	16.170282
Pbr_lncRNA1242	-	Chr15	-	9256895	9258878	13.253251	50.880264	84.741852
Pbr_lncRNA1089	-	Chr15	+	9766720	9768441	2.076828	12.160889	20.254145
Pbr_lncRNA1087	-	Chr15	+	9695742	9696067	1.197563	4.597538	7.657268
Pbr_lncRNA1090	-	Chr15	+	9788497	9791415	2.643732	10.149492	16.904133
Pbr_lncRNA1243	-	Chr15	-	10064737	10065310	0.000000	0.000000	0.000000
Pbr_lncRNA1091	-	Chr15	+	10680488	10682113	2.204651	8.463826	14.096631
Pbr_lncRNA1092	-	Chr15	+	10771160	10774826	0.000000	0.000000	0.000000
