Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Pbr_lncRNA1065	-	Chr15	+	705879	707934	2.316875	12.706594	30.989849
Pbr_lncRNA1210	-	Chr15	-	967803	969255	10.553717	57.880463	141.163467
Pbr_lncRNA1211	-	Chr15	-	1091354	1094096	6.830698	37.462059	91.365440
Pbr_lncRNA1066	-	Chr15	+	1366603	1367550	1.220292	6.692530	16.322271
Pbr_lncRNA1212	-	Chr15	-	1639874	1641378	0.000000	0.000000	0.000000
Pbr_lncRNA1216	-	Chr15	-	1949374	1950724	0.000000	0.000000	0.000000
Pbr_lncRNA1213	-	Chr15	-	1888014	1890899	0.000000	0.000000	0.000000
Pbr_lncRNA1067	-	Chr15	+	1912627	1912972	0.000000	0.000000	0.000000
Pbr_lncRNA1214	-	Chr15	-	1917563	1920489	0.000000	0.000000	0.000000
Pbr_lncRNA1215	-	Chr15	-	1935868	1936223	0.861809	4.726478	11.527308
Pbr_lncRNA1218	-	Chr15	-	3174398	3175859	3.613519	19.817865	48.333382
Pbr_lncRNA1219	-	Chr15	-	3311477	3318234	0.000000	0.000000	0.000000
Pbr_lncRNA1220	-	Chr15	-	4087802	4089276	4.173754	22.922796	55.905930
Pbr_lncRNA1221	-	Chr15	-	4101408	4108034	0.000000	0.000000	0.000000
Pbr_lncRNA1222	-	Chr15	-	4407595	4409875	3.429525	18.906940	46.111744
Pbr_lncRNA1223	-	Chr15	-	4525513	4526605	0.000000	0.000000	0.000000
Pbr_lncRNA1224	-	Chr15	-	5013189	5013706	9.929728	54.458279	132.817169
Pbr_lncRNA1070	-	Chr15	+	5324421	5326756	4.504643	29.271544	71.389763
Pbr_lncRNA1072	-	Chr15	+	5556824	5559191	0.000000	0.000000	0.000000
Pbr_lncRNA1226	-	Chr15	-	5713667	5714451	0.000000	0.000000	0.000000
Pbr_lncRNA1227	-	Chr15	-	5755922	5758622	0.000000	0.000000	0.000000
Pbr_lncRNA1073	-	Chr15	+	5756868	5757187	0.000000	0.000000	0.000000
Pbr_lncRNA1228	-	Chr15	-	5758695	5760369	7.549707	42.448868	103.527664
Pbr_lncRNA1229	-	Chr15	-	5800324	5808291	0.659685	47.515835	115.885376
Pbr_lncRNA1077	-	Chr15	+	6901435	6901922	0.000000	0.000000	0.000000
Pbr_lncRNA1078	-	Chr15	+	7053973	7054764	7.003253	38.408413	93.673485
Pbr_lncRNA1231	-	Chr15	-	7146891	7147632	0.000000	0.000000	0.000000
Pbr_lncRNA1232	-	Chr15	-	7176934	7181507	9.571569	61.927132	151.032806
Pbr_lncRNA1080	-	Chr15	+	7407255	7410114	0.000000	0.000000	0.000000
Pbr_lncRNA1233	-	Chr15	-	7335721	7337957	3.153685	43.606388	106.350716
Pbr_lncRNA1234	-	Chr15	-	7353927	7354451	0.000000	0.000000	0.000000
Pbr_lncRNA1079	-	Chr15	+	7354108	7354505	0.000000	0.000000	0.000000
Pbr_lncRNA1237	-	Chr15	-	8317858	8319129	0.000000	0.000000	0.000000
Pbr_lncRNA1082	-	Chr15	+	8342796	8343301	0.000000	0.000000	0.000000
Pbr_lncRNA1238	-	Chr15	-	8619530	8626247	0.284134	1.558295	3.800494
Pbr_lncRNA1239	-	Chr15	-	8623380	8625874	0.000000	0.000000	0.000000
Pbr_lncRNA1240	-	Chr15	-	8624061	8625071	0.027641	0.315812	0.770227
Pbr_lncRNA1241	-	Chr15	-	8645292	8645659	3.030401	16.619833	40.533764
Pbr_lncRNA1083	-	Chr15	+	8737157	8737667	1.086144	5.956813	14.527947
Pbr_lncRNA1085	-	Chr15	+	9057687	9063444	7.091321	38.891403	94.851440
Pbr_lncRNA1242	-	Chr15	-	9256895	9258878	3.412231	18.713928	45.641014
Pbr_lncRNA1087	-	Chr15	+	9695742	9696067	2.263954	12.416355	30.281992
Pbr_lncRNA1089	-	Chr15	+	9766720	9768441	2.056341	24.366493	59.426929
Pbr_lncRNA1090	-	Chr15	+	9788497	9791415	9.122449	50.030865	122.019234
Pbr_lncRNA1243	-	Chr15	-	10064737	10065310	0.000000	0.000000	0.000000
Pbr_lncRNA1091	-	Chr15	+	10680488	10682113	1.071759	5.877920	14.335538
Pbr_lncRNA1092	-	Chr15	+	10771160	10774826	0.000000	0.000000	0.000000
Pbr_lncRNA1093	-	Chr15	+	10845759	10846752	1.000242	5.485695	13.378947
Pbr_lncRNA1245	-	Chr15	-	10957330	10958380	0.952049	5.221387	12.734331
Pbr_lncRNA1246	-	Chr15	-	10959416	10960339	0.000000	0.000000	0.000000
Pbr_lncRNA1247	-	Chr15	-	10962667	10963678	0.000000	0.000000	0.000000
Pbr_lncRNA1094	-	Chr15	+	11155371	11158090	0.000000	0.000000	0.000000
Pbr_lncRNA1095	-	Chr15	+	11313965	11314677	0.000000	0.000000	0.000000
Pbr_lncRNA1096	-	Chr15	+	11315764	11320202	0.356672	1.956120	4.770741
Pbr_lncRNA1097	-	Chr15	+	11505967	11506560	0.000000	0.000000	0.000000
Pbr_lncRNA1248	-	Chr15	-	11705937	11740274	0.111545	7.658887	18.679098
Pbr_lncRNA1249	-	Chr15	-	11712891	11715385	0.000000	0.000000	0.000000
Pbr_lncRNA1250	-	Chr15	-	11726042	11736724	0.000000	0.000000	0.000000
Pbr_lncRNA1099	-	Chr15	+	11816875	11817349	2731.343018	14979.688477	36533.652344
Pbr_lncRNA1252	-	Chr15	-	11869599	11872444	0.000000	0.000000	0.000000
Pbr_lncRNA1251	-	Chr15	-	11873190	11877618	1.577283	12.485092	30.449631
Pbr_lncRNA1102	-	Chr15	+	12116672	12118347	1.479277	8.112899	19.786381
Pbr_lncRNA1254	-	Chr15	-	12176033	12177395	1.488063	8.161084	19.903900
Pbr_lncRNA1253	-	Chr15	-	12170463	12172750	28.846889	158.206940	385.847656
Pbr_lncRNA1103	-	Chr15	+	12177876	12179776	0.494982	2.714663	6.620736
Pbr_lncRNA1255	-	Chr15	-	12310128	12311539	0.727710	3.991029	9.733638
Pbr_lncRNA1105	-	Chr15	+	12533691	12534536	0.000000	0.000000	0.000000
Pbr_lncRNA1106	-	Chr15	+	12719457	12721515	5.418773	36.461956	88.926308
Pbr_lncRNA1107	-	Chr15	+	13116234	13116530	0.328132	1.799597	4.388999
Pbr_lncRNA1109	-	Chr15	+	13591083	13593225	15.053149	82.557007	201.346558
Pbr_lncRNA1258	-	Chr15	-	13779740	13780189	0.000000	0.000000	0.000000
Pbr_lncRNA1259	-	Chr15	-	13792500	13800647	0.362551	4.901988	11.955357
Pbr_lncRNA1110	-	Chr15	+	13889889	13892127	15.693603	101.047531	246.442719
Pbr_lncRNA1263	-	Chr15	-	14331305	14331930	0.000000	0.000000	0.000000
Pbr_lncRNA1261	-	Chr15	-	14299655	14300213	0.000000	0.000000	0.000000
Pbr_lncRNA1262	-	Chr15	-	14302765	14304635	1.528786	8.384424	20.448599
Pbr_lncRNA1113	-	Chr15	+	15328003	15346437	3.798182	65.097382	158.764648
Pbr_lncRNA1265	-	Chr15	-	15725349	15728232	6.732911	36.925758	90.057465
Pbr_lncRNA1266	-	Chr15	-	16040190	16042097	1.789527	9.932820	24.224949
Pbr_lncRNA1267	-	Chr15	-	16123675	16125308	0.726512	3.984459	9.717614
Pbr_lncRNA1268	-	Chr15	-	16599660	16602257	6.938798	38.054920	92.811348
Pbr_lncRNA1269	-	Chr15	-	16692972	16699161	0.837573	8.612142	21.003971
Pbr_lncRNA1115	-	Chr15	+	17519026	17519817	1.742942	9.558934	23.313087
Pbr_lncRNA1117	-	Chr15	+	17620708	17622887	0.000000	0.000000	0.000000
Pbr_lncRNA1118	-	Chr15	+	17768244	17769533	0.000000	0.000000	0.000000
Pbr_lncRNA1119	-	Chr15	+	17797402	17798174	2.133589	11.701386	28.538269
Pbr_lncRNA1271	-	Chr15	-	17797617	17798242	0.000000	0.000000	0.000000
Pbr_lncRNA1272	-	Chr15	-	18006098	18009097	5.140846	28.194286	68.762466
Pbr_lncRNA1120	-	Chr15	+	18017991	18021254	54.383278	298.257904	727.414978
Pbr_lncRNA1273	-	Chr15	-	18026970	18029519	1.807216	9.911437	24.172798
Pbr_lncRNA1274	-	Chr15	-	18030089	18031338	3.347813	20.726061	50.548359
Pbr_lncRNA1275	-	Chr15	-	18033805	18036183	1235.062866	6859.152832	16728.644531
Pbr_lncRNA1278	-	Chr15	-	18114241	18121641	0.000000	0.000000	0.000000
Pbr_lncRNA1279	-	Chr15	-	18268189	18271094	0.000000	0.000000	0.000000
Pbr_lncRNA1280	-	Chr15	-	18384205	18399694	0.788760	5.125498	12.500470
Pbr_lncRNA1121	-	Chr15	+	18488497	18490012	0.000000	0.000000	0.000000
Pbr_lncRNA1281	-	Chr15	-	18583190	18588071	2.092680	15.682345	38.247349
Pbr_lncRNA1282	-	Chr15	-	18927937	18928815	0.000000	0.000000	0.000000
Pbr_lncRNA1123	-	Chr15	+	18901875	18908988	0.000000	0.000000	0.000000
Pbr_lncRNA1124	-	Chr15	+	18903468	18911159	0.368930	7.053643	17.202982
Pbr_lncRNA1277	-	Chr15	-	18049897	18055161	651.229919	13144.933594	32058.902344
Pbr_lncRNA1125	-	Chr15	+	18957868	18964212	0.000000	0.000000	0.000000
