gene1	gene2	Coexpression Network	Interactome Network
Pbr015719.1	Pbr017484.1	III	V
Pbr015723.1	Pbr017488.1	III	IV
Pbr015744.1	Pbr017507.1	IV	III
Pbr015745.1	Pbr017508.1	III	V
Pbr015746.1	Pbr017509.1	IV	V
Pbr015749.1	Pbr017512.1	IV	V
Pbr015751.1	Pbr017514.1	IV	V
Pbr015755.1	Pbr017518.1	IV	V
Pbr015756.2	Pbr017522.1	IV	V
Pbr015759.1	Pbr017526.1	IV	V
Pbr015764.1	Pbr017534.1	III	IV
Pbr015766.1	Pbr017536.1	IV	V
Pbr015767.1	Pbr017537.1	III	IV
Pbr015771.1	Pbr017540.1	II	IV
Pbr015772.1	Pbr017541.1	III	V
Pbr015774.1	Pbr017543.1	II	V
Pbr015780.1	Pbr017552.1	I	IV
Pbr023908.1	Pbr022042.1	III	V
Pbr023911.1	Pbr022044.2	II	V
Pbr023915.1	Pbr022048.1	III	IV
Pbr023919.1	Pbr022051.1	II	III
Pbr023922.1	Pbr022052.1	IV	V
Pbr023925.3	Pbr022055.2	IV	V
Pbr023929.1	Pbr022059.1	IV	V
Pbr023931.1	Pbr022061.1	III	IV
Pbr023932.1	Pbr022062.2	III	V
Pbr023933.2	Pbr022063.1	III	IV
Pbr023935.1	Pbr022065.1	III	V
Pbr023939.1	Pbr022070.1	IV	V
Pbr023941.1	Pbr022073.1	IV	V
Pbr023944.1	Pbr022076.1	IV	III
Pbr023945.1	Pbr022077.1	III	IV
Pbr023948.1	Pbr022082.1	III	V
Pbr023949.1	Pbr022083.1	IV	V
Pbr018712.1	Pbr013635.1	IV	V
Pbr018714.1	Pbr013634.1	I	V
Pbr018715.1	Pbr013633.1	IV	V
Pbr018717.1	Pbr013631.1	IV	V
Pbr018380.1	Pbr013550.1	IV	III
Pbr018396.1	Pbr013538.1	IV	I
Pbr021047.1	Pbr013631.1	IV	V
Pbr027457.1	Pbr013616.1	IV	V
Pbr027451.1	Pbr013613.1	III	IV
Pbr027450.1	Pbr013608.1	III	V
Pbr027439.1	Pbr013591.1	III	V
Pbr010759.1	Pbr010723.1	III	V
Pbr010757.1	Pbr010725.1	I	V
Pbr010756.1	Pbr010727.1	III	V
Pbr010755.1	Pbr010728.1	IV	V
Pbr010751.1	Pbr010732.1	I	V
Pbr010748.1	Pbr010735.1	IV	V
Pbr041606.1	Pbr036084.1	III	V
Pbr041608.1	Pbr036088.1	IV	V
Pbr041611.1	Pbr017558.4	III	V
Pbr041615.1	Pbr017555.1	IV	III
Pbr041617.1	Pbr017554.2	IV	V
Pbr041620.1	Pbr017552.1	I	V
Pbr041621.1	Pbr017551.1	IV	V
Pbr007796.1	Pbr013517.1	IV	V
Pbr007803.1	Pbr013521.1	IV	V
Pbr007810.1	Pbr013527.1	IV	V
Pbr007825.1	Pbr013530.1	IV	III
