Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Pbr_lncRNA1208	-	Chr15	-	4168	4767	0.000000	0.000000	0.000000
Pbr_lncRNA1065	-	Chr15	+	705879	707934	0.000000	0.000000	0.000000
Pbr_lncRNA1210	-	Chr15	-	967803	969255	4.019580	24.065929	60.119774
Pbr_lncRNA1211	-	Chr15	-	1091354	1094096	5.055497	30.268156	75.613724
Pbr_lncRNA1066	-	Chr15	+	1366603	1367550	0.127039	0.760605	1.900088
Pbr_lncRNA1212	-	Chr15	-	1639874	1641378	0.000000	0.000000	0.000000
Pbr_lncRNA1213	-	Chr15	-	1888014	1890899	0.000000	0.000000	0.000000
Pbr_lncRNA1067	-	Chr15	+	1912627	1912972	0.000000	0.000000	0.000000
Pbr_lncRNA1214	-	Chr15	-	1917563	1920489	0.127833	0.765359	1.911964
Pbr_lncRNA1215	-	Chr15	-	1935868	1936223	0.195269	1.169110	2.920586
Pbr_lncRNA1216	-	Chr15	-	1949374	1950724	0.000000	0.000000	0.000000
Pbr_lncRNA1217	-	Chr15	-	2477867	2478409	0.286364	1.714512	4.283069
Pbr_lncRNA1218	-	Chr15	-	3174398	3175859	6.246799	37.400681	93.431686
Pbr_lncRNA1221	-	Chr15	-	4101408	4108034	0.000000	0.000000	0.000000
Pbr_lncRNA1220	-	Chr15	-	4087802	4089276	5.405859	32.388714	80.911156
Pbr_lncRNA1222	-	Chr15	-	4407595	4409875	2.516934	15.147973	37.841576
Pbr_lncRNA1223	-	Chr15	-	4525513	4526605	0.000000	0.000000	0.000000
Pbr_lncRNA1224	-	Chr15	-	5013189	5013706	24.999002	149.673431	373.903351
Pbr_lncRNA1070	-	Chr15	+	5324421	5326756	3.942935	43.440544	108.520035
Pbr_lncRNA1072	-	Chr15	+	5556824	5559191	0.000000	0.000000	0.000000
Pbr_lncRNA1226	-	Chr15	-	5713667	5714451	1.276873	7.644863	19.097845
Pbr_lncRNA1227	-	Chr15	-	5755922	5758622	0.000000	0.000000	0.000000
Pbr_lncRNA1073	-	Chr15	+	5756868	5757187	0.000000	0.000000	0.000000
Pbr_lncRNA1228	-	Chr15	-	5758695	5760369	5.665139	34.910015	87.209686
Pbr_lncRNA1229	-	Chr15	-	5800324	5808291	2.146084	168.749969	421.559021
Pbr_lncRNA1230	-	Chr15	-	5970368	5970762	0.000000	0.000000	0.000000
Pbr_lncRNA1075	-	Chr15	+	6078893	6083797	0.000000	0.000000	0.000000
Pbr_lncRNA1078	-	Chr15	+	7053973	7054764	1.059742	6.344861	15.850275
Pbr_lncRNA1232	-	Chr15	-	7176934	7181507	2.995782	19.654089	49.098431
Pbr_lncRNA1233	-	Chr15	-	7335721	7337957	0.682829	10.320088	25.780901
Pbr_lncRNA1235	-	Chr15	-	7513287	7513692	0.000000	0.000000	0.000000
Pbr_lncRNA1081	-	Chr15	+	7923803	7924104	1.881608	11.265517	28.142704
